Date/Time,Open,High,Low,Difference %
2023.08.22,146.197,146.397,145.494,0.62
2023.08.21,145.259,146.402,145.142,0.87
2023.08.18,145.813,145.869,144.927,0.65
2023.08.17,146.331,146.559,145.617,0.64
2023.08.16,145.551,146.405,145.306,0.76
2023.08.15,145.549,145.864,145.103,0.52
2023.08.14,144.805,145.577,144.650,0.64
2023.08.11,144.711,144.999,144.417,0.40
2023.08.10,143.712,144.814,143.281,1.07
2023.08.09,143.361,143.747,142.998,0.52
2023.08.08,142.477,143.492,142.397,0.77
2023.08.07,141.666,142.583,141.511,0.76
2023.08.04,142.495,142.903,141.549,0.95
2023.08.03,143.324,143.888,142.062,1.27
2023.08.02,143.325,143.475,142.230,0.87
2023.08.01,142.262,143.543,142.204,0.94
2023.07.31,140.921,142.689,140.689,1.42
2023.07.28,139.443,141.179,138.061,2.24
2023.07.27,140.221,141.320,138.765,1.82
2023.07.26,140.862,141.184,139.923,0.90
2023.07.25,141.423,141.735,140.852,0.62
2023.07.24,141.554,141.811,140.739,0.76
2023.07.21,140.056,141.952,139.747,1.57
2023.07.20,139.587,140.497,139.107,1.00
2023.07.19,138.813,139.992,138.762,0.89
2023.07.18,138.715,139.134,137.679,1.05
2023.07.17,138.599,139.405,137.996,1.02
2023.07.14,138.042,139.156,137.237,1.39
2023.07.13,138.458,138.953,137.923,0.74
2023.07.12,140.355,140.383,138.156,1.59
2023.07.11,141.306,141.459,140.158,0.92
2023.07.10,142.091,143.005,141.276,1.22
2023.07.07,144.056,144.196,142.069,1.48
2023.07.06,144.647,144.651,143.552,0.76
2023.07.05,144.439,144.734,144.077,0.45
2023.07.04,144.644,144.700,144.205,0.34
2023.07.03,144.220,144.912,143.984,0.64
2023.06.30,144.754,145.067,144.200,0.60
2023.06.29,144.470,144.897,144.133,0.53
2023.06.28,144.069,144.615,143.728,0.62
2023.06.27,143.492,144.174,143.281,0.62
2023.06.26,143.506,143.718,142.935,0.55
2023.06.23,143.106,143.871,142.685,0.83
2023.06.22,141.862,143.225,141.609,1.14
2023.06.21,141.440,142.368,141.280,0.77
2023.06.20,141.960,142.252,141.212,0.73
2023.06.19,141.675,142.001,141.441,0.40
2023.06.16,140.252,141.911,139.850,1.47
2023.06.15,140.027,141.503,139.940,1.12
2023.06.14,140.207,140.281,139.281,0.71
2023.06.13,139.589,140.306,139.010,0.93
2023.06.12,139.271,139.765,139.062,0.50
2023.06.09,138.918,139.723,138.757,0.70
2023.06.08,140.082,140.225,138.806,1.01
2023.06.07,139.621,140.245,139.022,0.88
2023.06.06,139.574,139.992,139.095,0.64
2023.06.05,139.947,140.453,139.248,0.86
2023.06.02,138.780,140.070,138.603,1.06
2023.06.01,139.324,139.947,138.430,1.09
2023.05.31,139.761,140.391,139.231,0.83
2023.05.30,140.415,140.932,139.570,0.97
2023.05.29,140.568,140.917,140.112,0.57
2023.05.26,140.020,140.724,139.492,0.88
2023.05.25,139.446,140.228,138.812,1.02
2023.05.24,138.574,139.477,138.231,0.90
2023.05.23,138.584,138.909,138.240,0.48
2023.05.22,137.963,138.685,137.492,0.86
2023.05.19,138.704,138.709,137.423,0.93
2023.05.18,137.662,138.745,137.285,1.06
2023.05.17,136.352,137.712,136.303,1.03
2023.05.16,136.101,136.682,135.673,0.74
2023.05.15,135.646,136.324,135.640,0.50
2023.05.12,134.516,135.752,134.401,1.00
2023.05.11,134.332,134.842,133.743,0.82
2023.05.10,135.203,135.469,134.110,1.01
2023.05.09,135.094,135.357,134.721,0.47
2023.05.08,134.794,135.296,134.640,0.49
2023.05.05,134.209,135.121,133.882,0.92
2023.05.04,134.667,134.877,133.498,1.02
2023.05.03,136.499,136.616,134.667,1.43
2023.05.02,137.467,137.772,136.315,1.06
2023.05.01,136.105,137.539,136.105,1.05
2023.04.28,133.967,136.560,133.335,2.41
2023.04.27,133.647,134.197,133.204,0.74
2023.04.26,133.726,133.940,133.013,0.69
2023.04.25,134.223,134.479,133.366,0.83
2023.04.24,133.942,134.729,133.888,0.63
2023.04.21,134.220,134.491,133.548,0.70
2023.04.20,134.675,134.972,134.011,0.71
2023.04.19,134.076,135.133,133.951,0.88
2023.04.18,134.449,134.703,133.860,0.63
2023.04.17,133.803,134.571,133.709,0.64
2023.04.14,132.567,133.835,132.168,1.26
2023.04.13,133.121,133.390,132.016,1.03
2023.04.12,133.677,134.043,132.730,0.98
2023.04.11,133.577,133.805,132.971,0.62
2023.04.10,132.087,133.870,131.829,1.55
2023.04.07,131.741,132.373,131.524,0.64
2023.04.06,131.287,131.903,130.774,0.86
2023.04.05,131.686,131.842,130.611,0.93
2023.04.04,132.439,133.167,131.521,1.24
2023.04.03,133.368,133.755,132.201,1.17
2023.03.31,132.669,133.592,132.574,0.77
2023.03.30,132.838,132.965,132.200,0.58
2023.03.29,130.821,132.889,130.755,1.63
2023.03.28,131.522,131.560,130.405,0.88
2023.03.27,130.539,131.760,130.459,1.00
2023.03.24,130.814,130.939,129.638,0.99
2023.03.23,131.364,131.660,130.317,1.02
2023.03.22,132.495,133.000,131.001,1.51
2023.03.21,131.310,132.631,131.029,1.22
2023.03.20,131.792,132.647,130.538,1.60
2023.03.17,133.698,133.740,131.554,1.64
2023.03.16,133.338,133.824,131.715,1.58
2023.03.15,134.211,135.112,132.212,2.16
2023.03.14,133.171,134.901,133.025,1.41
2023.03.13,134.542,135.047,132.282,2.06
2023.03.10,136.133,136.992,134.111,2.12
2023.03.09,137.302,137.355,135.940,1.03
2023.03.08,137.142,137.910,136.477,1.04
2023.03.07,135.891,137.193,135.537,1.22
2023.03.06,135.971,136.190,135.364,0.61
2023.03.03,136.748,136.768,135.744,0.75
2023.03.02,136.147,137.100,136.020,0.79
2023.03.01,136.196,136.468,135.255,0.89
2023.02.28,136.195,136.917,135.734,0.87
2023.02.27,136.414,136.554,135.914,0.47
2023.02.24,134.645,136.519,134.054,1.83
2023.02.23,134.853,135.364,134.486,0.65
2023.02.22,135.001,135.061,134.363,0.52
2023.02.21,134.222,135.227,134.148,0.80
2023.02.20,134.198,134.538,133.920,0.46
2023.02.17,133.936,135.116,133.920,0.89
2023.02.16,134.120,134.461,133.602,0.64
2023.02.15,133.099,134.357,132.542,1.36
2023.02.14,132.374,133.314,131.499,1.37
2023.02.13,131.238,132.907,131.207,1.30
2023.02.10,131.536,131.885,129.801,1.58
2023.02.09,131.399,131.824,130.339,1.13
2023.02.08,131.002,131.537,130.591,0.72
2023.02.07,132.628,132.706,130.472,1.68
2023.02.06,132.471,132.900,131.508,1.05
2023.02.03,128.678,131.202,128.327,2.23
2023.02.02,128.891,129.133,128.080,0.82
2023.02.01,130.070,130.408,128.537,1.44
2023.01.31,130.405,130.530,129.743,0.60
2023.01.30,129.685,130.567,129.200,1.05
2023.01.27,130.176,130.265,129.496,0.59
2023.01.26,129.565,130.618,129.020,1.23
2023.01.25,130.161,130.581,129.264,1.01
2023.01.24,130.659,131.116,129.723,1.07
2023.01.23,129.459,130.885,129.038,1.43
2023.01.20,128.406,130.611,128.340,1.77
2023.01.19,128.884,128.889,127.757,0.88
2023.01.18,128.119,131.572,127.561,3.13
2023.01.17,128.440,129.155,127.986,0.91
2023.01.16,127.749,128.863,127.218,1.29
2023.01.13,129.270,129.415,127.454,1.52
2023.01.12,132.456,132.472,128.859,2.73
2023.01.11,132.200,132.871,132.054,0.62
2023.01.10,131.860,132.477,131.380,0.83
2023.01.09,131.899,132.653,131.304,1.02
2023.01.06,133.400,134.773,131.993,2.08
2023.01.05,132.611,134.053,131.681,1.79
2023.01.04,130.991,132.715,129.923,2.13
2023.01.03,130.641,131.403,129.507,1.45
2023.01.02,130.925,131.041,130.598,0.34
2022.12.30,133.011,133.090,130.776,1.74
2022.12.29,134.451,134.451,132.878,1.17
2022.12.28,133.479,134.498,133.324,0.88
2022.12.27,132.814,133.592,132.632,0.72
2022.12.26,132.703,133.190,132.305,0.67
2022.12.23,132.303,133.136,132.149,0.75
2022.12.22,132.465,132.721,131.641,0.82
2022.12.21,131.653,132.526,131.491,0.79
2022.12.20,136.902,137.472,130.566,5.04
2022.12.19,135.813,137.159,135.749,1.04
2022.12.16,137.761,137.792,136.293,1.09
2022.12.15,135.449,138.171,135.236,2.17
2022.12.14,135.546,135.987,134.509,1.09
2022.12.13,137.655,137.969,134.650,2.41
2022.12.12,136.464,137.848,136.419,1.05
2022.12.09,136.601,136.909,135.602,0.96
2022.12.08,136.554,137.243,136.241,0.73
2022.12.07,136.872,137.854,136.215,1.20
2022.12.06,136.719,137.426,135.960,1.07
2022.12.05,134.479,136.859,134.127,2.03
2022.12.02,135.257,135.981,133.618,1.75
2022.12.01,138.001,138.107,135.209,2.10
2022.11.30,138.664,139.892,137.648,1.62
2022.11.29,138.856,139.350,137.864,1.07
2022.11.28,139.199,139.418,137.497,1.38
2022.11.25,138.597,139.594,138.369,0.88
2022.11.24,139.587,139.600,138.049,1.11
2022.11.23,141.187,141.610,139.162,1.73
2022.11.22,142.101,142.240,141.082,0.81
2022.11.21,140.267,142.251,140.157,1.49
2022.11.18,140.172,140.498,139.631,0.62
2022.11.17,139.496,140.736,138.874,1.33
2022.11.16,139.237,140.288,138.727,1.12
2022.11.15,139.879,140.624,137.671,2.11
2022.11.14,139.099,140.793,138.794,1.44
2022.11.11,140.956,142.479,138.460,2.85
2022.11.10,146.392,146.588,140.202,4.36
2022.11.09,145.649,146.793,145.167,1.12
2022.11.08,146.569,146.932,145.309,1.11
2022.11.07,147.173,147.568,146.081,1.01
